119030408: Faia;94;78;13;- -;5;668;97;182;
119030413: Pedraça;143;135;24;39;8;2863;600;- -;
119030415: Rio Douro;882;186;1406;1108;64;2339;724;65;
119030418: União das freguesias de Alvite e Passos;173;81;119;298;19;1505;411;46;
119030419: União das freguesias de Arco de Baúlhe e Vila Nune;91;123;- -;28;2;1509;264;10;
119030420: União das freguesias de Gondiães e Vilar de Cunhas;455;20;935;729;1;867;632;68;
119030421: União das freguesias de Refojos de Basto, Outeiro e Painzela;474;751;706;590;7;3726;932;214;
1190307: Fafe;4740;1314;4266;1243;66;33562;21815;903;
119030705: Armil;114;14;26;2;- -;736;93;- -;
119030726: Arões (Santa Cristina);65;26;1;- -;1;530;108;6;
119030730: Arões (São Romão);120;29;14;10;2;1072;281;- -;
119030708: Estorãos;118;31;135;81;6;2251;692;4;
119030709: Fafe;109;44;135;- -;- -;1175;349;118;
119030712: Fornelos;99;58;65;21;1;1084;244;6;
119030714: Golães;96;12;91;48;- -;986;543;- -;
119030716: Medelo;35;- -;5;- -;- -;496;174;- -;
119030719: Paços;107;26;101;106;- -;1189;153;27;
119030722: Quinchães;207;17;172;23;3;1204;315;5;
119030723: Regadas;223;43;146;34;7;740;4539;70;
119030724: Revelhe;127;47;65;23;1;1109;203;18;
119030725: Ribeiros;97;6;87;32;- -;591;142;- -;
119030728: São Gens;496;149;252;47;3;2886;678;37;
119030729: Silvares (São Martinho);89;125;31;14;- -;766;214;- -;
119030733: Travassós;111;55;293;92;2;2253;520;22;
119030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído;475;107;372;258;1;1524;355;2;
119030738: União de freguesias de Agrela e Serafão;71;61;340;9;2;1849;384;86;
119030739: União de freguesias de Antime e Silvares (São Clemente);200;30;30;11;5;1376;2514;138;
119030740: União de freguesias de Ardegão, Arnozela e Seidões;391;18;183;38;17;1316;618;19;
119030741: União de freguesias de Cepães e Fareja;282;75;63;16;1;1449;453;102;
119030742: União de freguesias de Freitas e Vila Cova;179;35;322;93;4;1705;320;13;
119030743: União de freguesias de Monte e Queimadela;489;209;656;106;5;2310;345;18;
119030744: União de freguesias de Moreira do Rei e Várzea Cova;372;83;664;170;5;2336;7462;12;
119030736: Vinhós;68;14;17;9;- -;629;116;200;
1190308: Guimarães;7810;3437;855;200;171;750935;7523;338;
119030801: Aldão;101;7;- -;- -;- -;417;99;- -;
119030804: Azurém;68;21;- -;- -;3;450;78;7;
119030806: Barco;51;8;2;- -;2;74436;35;- -;
119030807: Brito;217;22;- -;- -;1;695;172;5;
119030808: Caldelas;163;25;- -;4;3;1569;86;3;
119030857: Candoso (São Martinho);246;21;- -;6;2;370;94;- -;
119030812: Costa;46;94;73;30;2;737;348;6;
119030813: Creixomil;209;17;- -;- -;4;384;73;- -;
119030815: Fermentões;111;38;- -;- -;11;31388;258;20;
119030820: Gonça;76;37;13;7;- -;643;71;17;
119030821: Gondar;72;1;- -;- -;2;217;14;- -;
119030823: Guardizela;379;13;- -;- -;6;534;88;15;
119030824: Infantas;180;25;- -;- -;- -;1007;139;12;
119030827: Longos;540;458;3;- -;1;1430;189;4;
119030828: Lordelo;67;24;18;- -;4;465;30;- -;
119030830: Mesão Frio;133;21;- -;8;2;530;192;- -;
119030831: Moreira de Cónegos;23;6;- -;- -;- -;322;126;- -;
119030832: Nespereira;20;3;- -;- -;1;302;34;- -;
119030835: Pencelo;47;25;- -;- -;- -;601;118;12;
119030836: Pinheiro;156;27;- -;1;2;1001;124;2;
119030837: Polvoreira;64;12;- -;- -;1;314;53;9;
119030838: Ponte;137;1156;39;- -;16;531557;139;11;
119030842: Prazins (Santa Eufémia);58;34;- -;- -;1;360;40;- -;
119030840: Ronfe;206;72;11;6;3;1027;86;- -;
119030858: Sande (São Martinho);54;40;- -;1;9;1067;196;- -;
119030865: São Torcato;380;72;23;- -;11;1267;265;- -;
119030850: Selho (São Cristóvão);31;6;52;25;- -;243;34;- -;
119030854: Selho (São Jorge);183;38;- -;- -;6;641;175;- -;
119030866: Serzedelo;126;18;- -;- -;- -;558;50;- -;
119030868: Silvares;85;23;- -;2;- -;19233;306;8;
119030875: União das freguesias de Abação e Gémeos;183;38;- -;1;9;1826;364;8;
119030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;183;168;83;4;3;1610;221;3;
119030877: União das freguesias de Arosa e Castelões;80;72;95;2;11;1431;208;24;
119030878: União das freguesias de Atães e Rendufe;287;67;69;12;2;1979;722;23;
119030879: União das freguesias de Briteiros Santo Estêvão e Donim;98;155;39;17;2;1069;148;8;
119030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;242;65;20;4;1;1392;107;15;
119030881: União das freguesias de Candoso São Tiago e Mascotelos;168;55;10;10;9;1246;141;11;
119030882: União das freguesias de Conde e Gandarela;60;18;21;9;6;546;90;25;
119030883: União das freguesias de Leitões, Oleiros e Figueiredo;523;76;115;- -;5;1375;126;12;
119030884: União das freguesias de Oliveira, São Paio e São Sebastião;- -;- -;- -;- -;- -;- -;- -;- -;
119030885: União das freguesias de Prazins Santo Tirso e Corvite;36;31;- -;- -;- -;446;121;- -;
119030886: União das freguesias de Sande São Lourenço e Balazar;481;72;- -;4;7;57162;218;3;
119030887: União das freguesias de Sande Vila Nova e Sande São Clemente;225;61;1;4;6;1560;294;28;
119030888: União das freguesias de Selho São Lourenço e Gominhães;133;57;- -;- -;1;1289;120;3;
119030889: União das freguesias de Serzedo e Calvos;121;33;2;2;1;1020;78;- -;
119030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;553;44;166;33;11;1393;124;18;
119030891: União das freguesias de Tabuadelo e São Faustino;70;43;- -;3;1;1345;678;24;
119030871: Urgezes;138;18;- -;5;3;481;51;2;
1191705: Mondim de Basto;2063;1480;325;4465;45;7653;1820;662;
119170501: Atei;422;933;77;35;6;1749;475;38;
119170502: Bilhó;484;114;32;787;5;957;233;49;
119170505: São Cristóvão de Mondim de Basto;179;109;69;127;11;1890;327;202;
119170509: União das freguesias de Campanhó e Paradança;156;64;59;760;14;733;129;62;
119170510: União das freguesias de Ermelo e Pardelhas;419;94;32;2583;6;1213;354;239;
119170508: Vilar de Ferreiros;403;166;56;173;3;1111;302;72;
1190309: Póvoa de Lanhoso;3146;969;1859;1491;140;51736;3340;285;
119030906: Covelas;99;41;99;72;10;864;122;29;
119030908: Ferreiros;184;70;34;60;- -;1286;50;- -;
119030912: Galegos;14;11;21;4;17;504;97;1;
119030913: Garfe;135;26;22;47;3;794;177;5;
119030914: Geraz do Minho;107;38;92;- -;8;19594;36;6;
119030915: Lanhoso;106;9;6;66;9;443;68;1;
119030917: Monsul;160;25;31;- -;1;1005;190;6;
119030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);144;5;191;344;- -;318;54;6;
119030921: Rendufinho;77;60;56;223;- -;979;300;39;
119030922: Santo Emilião;495;17;13;- -;1;339;44;- -;
119030923: São João de Rei;116;30;42;141;10;606;227;7;
119030924: Serzedelo;309;97;200;35;32;1351;270;36;
119030925: Sobradelo da Goma;125;92;287;14;2;7621;134;21;
119030926: Taíde;128;31;113;- -;6;5564;42;26;
119030927: Travassos;71;21;64;80;2;1154;91;17;
119030930: União das freguesias de Águas Santas e Moure;100;56;25;2;7;1355;138;15;
119030931: União das freguesias de Calvos e Frades;140;61;155;108;11;1232;289;28;
119030932: União das freguesias de Campos e Louredo;199;27;36;73;2;1495;348;13;
119030933: União das freguesias de Esperança e Brunhais;70;53;54;16;1;1221;95;9;
119030934: União das freguesias de Fonte Arcada e Oliveira;146;73;92;17;9;1802;297;1;
119030935: União das freguesias de Verim, Friande e Ajude;180;99;90;30;9;1699;215;18;
119030929: Vilela;41;27;136;159;- -;510;56;1;
1190311: Vieira do Minho;3455;1477;3151;2261;400;18465;5022;747;
119031105: Cantelães;116;26;33;33;168;941;153;46;
119031107: Eira Vedra;89;50;175;19;19;742;127;51;
119031108: Guilhofrei;220;73;31;4;27;1534;552;7;
119031109: Louredo;72;26;50;80;14;445;232;14;
119031110: Mosteiro;228;116;197;15;4;1258;290;14;
119031111: Parada de Bouro;35;49;32;29;5;725;188;22;
119031112: Pinheiro;141;107;64;109;9;1661;347;118;
119031113: Rossas;568;334;854;415;6;3113;785;218;
119031115: Salamonde;103;49;2;321;17;469;210;- -;
119031118: Tabuaças;167;101;72;32;26;601;135;26;
119031122: União das freguesias de Anissó e Soutelo;195;85;194;61;22;1156;300;21;
119031123: União das freguesias de Anjos e Vilar do Chão;457;105;534;87;35;2232;489;48;
119031124: União das freguesias de Caniçada e Soengas;43;81;16;9;21;907;227;28;
119031125: União das freguesias de Ruivães e Campos;765;140;748;1014;10;1242;464;44;
119031126: União das freguesias de Ventosa e Cova;131;52;95;14;11;508;320;54;
119031120: Vieira do Minho;125;83;54;19;6;931;203;36;
1190312: Vila Nova de Famalicão;19470;1631;796;277;129;55690;11747;262;
119031204: Bairro;168;18;40;- -;11;972;170;- -;
119031206: Brufe;195;15;8;- -;1;330;97;17;
119031210: Castelões;400;22;110;9;1;826;217;- -;
119031212: Cruz;371;40;15;101;13;797;205;12;
119031213: Delães;62;11;- -;- -;- -;598;74;- -;
119031215: Fradelos;4292;91;82;5;1;4147;847;45;
119031216: Gavião;249;22;6;8;10;889;161;3;
119031219: Joane;185;10;- -;36;- -;616;97;- -;
119031221: Landim;413;37;19;1;4;1149;393;- -;
119031223: Louro;1020;26;- -;1;4;1212;233;6;
119031224: Lousado;95;21;49;- -;1;630;132;2;
119031225: Mogege;74;22;- -;- -;1;690;1931;- -;
119031227: Nine;777;63;115;6;2;2258;347;7;
119031239: Oliveira (Santa Maria);145;25;17;3;4;1093;378;- -;
119031242: Oliveira (São Mateus);16;9;- -;- -;- -;345;101;- -;
119031230: Pedome;43;21;12;1;5;669;124;- -;
119031232: Pousada de Saramagos;7;5;1;- -;- -;172;82;- -;
119031233: Requião;269;43;3;- -;10;1903;328;6;
119031234: Riba de Ave;20;2;6;- -;1;294;10;- -;
119031235: Ribeirão;1060;43;32;4;1;1391;437;26;
119031250: União das freguesias de Antas e Abade de Vermoim;298;34;18;- -;5;858;116;4;
119031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;835;82;49;6;12;2631;848;25;
119031252: União das freguesias de Avidos e Lagoa;598;34;3;7;1;1033;163;3;
119031253: União das freguesias de Carreira e Bente;228;24;7;- -;- -;1227;306;10;
119031254: União das freguesias de Esmeriz e Cabeçudos;328;40;36;- -;2;1272;163;- -;
119031255: União das freguesias de Gondifelos, Cavalões e Outiz;2635;72;21;31;1;3486;685;3;
119031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;1205;49;38;11;- -;1884;325;19;
119031257: União das freguesias de Ruivães e Novais;400;17;3;2;5;833;313;5;
119031258: União das freguesias de Seide;174;40;22;2;5;810;233;12;
119031259: União das freguesias de Vale (São Cosme), Telhado e Portela;1031;82;27;11;- -;2961;1091;4;
119031260: União das freguesias de Vila Nova de Famalicão e Calendário;195;14;2;11;22;1425;143;- -;
119031241: Vale (São Martinho);512;29;- -;2;1;14028;388;31;
119031247: Vermoim;280;38;2;2;2;1022;230;6;
119031249: Vilarinho das Cambas;890;530;53;17;3;1239;379;16;
1190314: Vizela;636;135;138;38;15;4246;732;17;
119031404: Infias;34;10;- -;10;- -;476;89;- -;
119031401: Santa Eulália;143;22;43;4;2;932;145;10;
119031408: União das freguesias de Caldas de Vizela (São Miguel e São João);114;10;87;3;6;385;171;- -;
119031409: União das freguesias de Tagilde e Vizela (São Paio);274;59;7;21;7;1785;260;7;
119031406: Vizela (Santo Adrião);71;34;1;- -;- -;668;67;- -;
11A: Área Metropolitana do Porto;115647;39748;19303;7824;778;1079621;64975;4592;
11A0104: Arouca;7357;2828;3453;4582;41;79210;5571;1760;
11A010402: Alvarenga;515;184;267;239;15;1080;260;227;
11A010407: Chave;675;95;73;28;3;1231;309;18;
11A010409: Escariz;1046;91;106;20;1;40765;173;106;
11A010411: Fermedo;758;89;200;7;- -;1228;260;1;
11A010413: Mansores;714;126;91;26;- -;2111;522;39;
11A010414: Moldes;425;618;86;126;- -;2744;612;191;
11A010415: Rossas;231;184;136;43;1;1957;328;48;
11A010416: Santa Eulália;536;490;173;60;- -;4009;760;147;
11A010417: São Miguel do Mato;211;65;221;- -;- -;638;93;27;
11A010418: Tropeço;432;175;348;90;- -;15425;493;77;
11A010421: União das freguesias de Arouca e Burgo;576;398;140;104;6;4214;973;291;
11A010422: União das freguesias de Cabreiros e Albergaria da Serra;394;12;473;1802;1;517;101;195;
11A010423: União das freguesias de Canelas e Espiunca;153;122;385;174;- -;987;343;150;
11A010424: União das freguesias de Covelo de Paivó e Janarde;173;46;457;1732;4;496;114;227;
11A010419: Urrô;294;91;178;115;6;1310;192;5;
11A010420: Várzea;224;42;119;16;4;498;38;11;
11A0107: Espinho;60;32;21;18;- -;861;313;- -;
11A010702: Espinho;- -;- -;- -;- -;- -;- -;- -;- -;
11A010704: Paramos;4;2;- -;- -;- -;187;46;- -;
11A010705: Silvalde;12;20;6;2;- -;210;15;- -;
11A010706: União das freguesias de Anta e Guetim;44;10;15;16;- -;464;252;- -;
11A1304: Gondomar;1565;723;2963;122;27;23473;4155;499;
11A130412: Baguim do Monte (Rio Tinto);169;8;45;- -;6;350;136;16;
11A130405: Lomba;24;39;118;8;- -;747;160;20;
11A130408: Rio Tinto;391;25;89;5;3;1204;410;1;
11A130413: União das freguesias de Fânzeres e São Pedro da Cova;348;47;405;29;7;10971;621;3;
11A130414: União das freguesias de Foz do Sousa e Covelo;279;345;890;12;8;3246;918;281;
11A130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim;293;74;358;53;1;2816;1012;2;
11A130416: União das freguesias de Melres e Medas;61;185;1058;15;2;4139;898;176;
11A1306: Maia;6630;302;460;60;52;22739;2771;37;
11A130601: Águas Santas;499;16;107;2;1;1123;359;- -;
11A130618: Castêlo da Maia;2542;136;95;24;8;2758;846;13;
11A130619: Cidade da Maia;193;22;60;1;2;1452;313;- -;
11A130603: Folgosa;854;35;45;- -;11;13133;247;9;
11A130608: Milheirós;44;- -;34;3;- -;358;58;- -;
11A130609: Moreira;908;39;15;9;19;880;184;1;
11A130620: Nogueira e Silva Escura;584;19;46;17;1;751;195;- -;
11A130617: Pedrouços;38;5;36;1;4;508;330;- -;
11A130613: São Pedro Fins;583;27;22;- -;6;1103;156;14;
11A130616: Vila Nova da Telha;385;3;- -;3;- -;673;83;- -;
11A1308: Matosinhos;6426;278;382;59;46;8101;1736;12;
11A130811: União das freguesias de Custóias, Leça do Balio e Guifões;2143;96;242;27;12;2947;653;12;
11A130812: União das freguesias de Matosinhos e Leça da Palmeira;134;12;22;- -;13;517;80;- -;
11A130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo;3903;98;74;20;13;3677;666;- -;
11A130814: União das freguesias de São Mamede de Infesta e Senhora da Hora;246;72;44;12;8;960;337;- -;
11A0113: Oliveira de Azeméis;10568;4422;754;338;39;420814;7142;384;
11A011301: Carregosa;495;115;82;46;14;3734;321;3;
11A011302: Cesar;81;26;49;- -;- -;518;196;19;
11A011303: Fajões;400;37;97;23;- -;46472;245;4;
11A011304: Loureiro;3657;261;67;45;- -;52259;1716;18;
11A011305: Macieira de Sarnes;120;23;8;- -;- -;304;131;- -;
11A011310: Ossela;476;356;70;32;- -;1420;145;61;
11A011315: São Martinho da Gândara;2226;127;20;23;- -;1503;257;31;
11A011318: São Roque;179;28;20;24;1;643;232;- -;
11A011320: União das freguesias de Nogueira do Cravo e Pindelo;264;75;183;25;3;1659;252;18;
11A011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;1146;2833;66;37;16;295966;2023;152;
11A011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;503;388;77;76;3;2759;1281;71;
11A011319: Vila de Cucujães;1021;153;15;7;2;13577;343;7;
11A1310: Paredes;3699;1743;2881;540;95;21044;8430;211;
11A131001: Aguiar de Sousa;92;41;331;26;2;1221;277;14;
11A131002: Astromil;65;36;13;- -;- -;413;182;- -;
11A131003: Baltar;285;118;81;43;- -;1247;305;- -;
11A131004: Beire;519;186;124;1;2;1881;691;5;
11A131008: Cete;88;43;54;5;10;403;90;- -;
11A131009: Cristelo;34;23;23;1;- -;429;161;1;
11A131010: Duas Igrejas;143;24;34;2;- -;607;183;- -;
11A131011: Gandra;224;77;153;12;8;1497;192;50;
11A131013: Lordelo;65;24;235;- -;- -;530;120;15;
11A131014: Louredo;122;33;23;- -;8;489;106;5;
11A131017: Parada de Todeia;30;23;104;12;- -;494;85;- -;
11A131025: Paredes;1257;519;509;203;30;5010;4222;18;
11A131018: Rebordosa;146;89;343;14;9;781;304;1;
11A131019: Recarei;98;112;394;126;11;1923;405;18;
11A131020: Sobreira;144;263;265;75;6;1860;419;26;
11A131021: Sobrosa;115;27;27;1;1;522;155;7;
11A131022: Vandoma;163;41;51;6;7;576;181;- -;
11A131024: Vilela;109;64;117;13;1;1161;352;51;
11A1312: Porto;- -;- -;- -;- -;- -;- -;- -;- -;
11A131202: Bonfim;- -;- -;- -;- -;- -;- -;- -;- -;
11A131203: Campanhã;- -;- -;- -;- -;- -;- -;- -;- -;
11A131210: Paranhos;- -;- -;- -;- -;- -;- -;- -;- -;
11A131211: Ramalde;- -;- -;- -;- -;- -;- -;- -;- -;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;- -;- -;- -;- -;- -;- -;- -;- -;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;- -;- -;- -;- -;- -;- -;- -;- -;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;- -;- -;- -;- -;- -;- -;- -;- -;
11A1313: Póvoa de Varzim;18048;13535;235;91;119;19802;8567;6;
11A131305: Balazar;5207;2794;7;8;4;2681;833;- -;
11A131307: Estela;1109;44;10;22;13;3811;2160;- -;
11A131308: Laundos;1536;10438;8;2;1;1069;364;- -;
11A131311: Rates;5578;67;2;7;7;2280;466;6;
11A131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai;1793;30;180;12;1;1313;453;- -;
11A131314: União das freguesias de Aguçadoura e Navais;344;24;- -;11;20;3812;1821;- -;
11A131313: União das freguesias de Aver-o-Mar, Amorim e Terroso;2481;138;28;29;73;4836;2470;- -;
11A0109: Santa Maria da Feira;4219;8240;1636;159;62;20163;5498;342;
11A010901: Argoncilhe;93;36;57;6;- -;794;427;- -;
11A010902: Arrifana;178;37;6;2;- -;676;90;- -;
11A010904: Escapães;49;6;35;- -;- -;313;80;56;
11A010907: Fiães;53;12;9;- -;- -;151;160;12;
11A010908: Fornos;55;13;31;7;1;398;33;- -;
11A010913: Lourosa;43;13;1;3;1;102;30;- -;
11A010914: Milheirós de Poiares;96;17;103;- -;- -;648;137;2;
11A010916: Mozelos;75;2122;- -;- -;- -;296;220;4;
11A010917: Nogueira da Regedoura;15;5;22;6;- -;20;- -;- -;
11A010919: Paços de Brandão;18;23;14;5;4;274;82;- -;
11A010921: Rio Meão;28;8;- -;- -;- -;243;69;6;
11A010922: Romariz;373;108;66;10;4;1888;590;7;
11A010924: Sanguedo;43;4;- -;- -;- -;186;68;- -;
11A010925: Santa Maria de Lamas;12;8;- -;- -;- -;62;19;- -;
11A010926: São João de Ver;69;108;34;12;3;557;114;16;
11A010918: São Paio de Oleiros;2;2;9;- -;2;62;48;- -;
11A010932: União das freguesias de Caldas de São Jorge e Pigeiros;117;59;58;- -;- -;1202;228;- -;
11A010933: União das freguesias de Canedo, Vale e Vila Maior;889;275;699;35;24;5014;1138;89;
11A010934: União das freguesias de Lobão, Gião, Louredo e Guisande;555;172;296;19;5;3430;907;71;
11A010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;602;5020;116;8;8;1805;609;22;
11A010936: União de freguesias de São Miguel de Souto e Mosteirô;854;192;80;46;10;2042;449;57;
11A1314: Santo Tirso;4810;1431;1352;190;38;45657;4301;188;
11A131401: Agrela;30;18;86;17;- -;15483;114;31;
11A131402: Água Longa;640;52;107;11;4;738;81;7;
11A131405: Aves;111;12;42;1;2;671;252;8;
11A131413: Monte Córdova;540;59;320;68;5;1702;544;20;
11A131430: Negrelos (São Tomé);93;16;17;- -;1;485;80;- -;
11A131416: Rebordões;92;7;- -;21;- -;497;53;20;
11A131418: Reguenga;551;72;10;7;7;6487;206;- -;
11A131419: Roriz;219;807;219;14;- -;8429;234;21;
11A131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira;560;61;27;7;2;2065;820;8;
11A131434: União das freguesias de Campo (São Martinho), São Salvador do Campo e Negrelos (São Mamede);171;68;251;1;1;1435;378;- -;
11A131435: União das freguesias de Carreira e Refojos de Riba de Ave;561;99;87;18;7;1944;430;18;
11A131436: União das freguesias de Lamelas e Guimarei;272;41;62;11;2;998;253;4;
11A131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães;714;107;83;12;5;4233;687;51;
11A131432: Vilarinho;256;12;41;2;2;490;169;- -;
